"";"session";"landmark_id";"clan";"utme";"utmn";"category"
"89";"s1200";"Vandalism_Den";"happyzebra";"717253";"9844123";"cd"
"90";"s12039";"Boone_Den";"serenas";"725499";"9840852";"cd"
"91";"s12073";"Smoke_Monster_Den";"serenas";"725574";"9841261";"cd"
"92";"s12140";"Rousseau_Den";"serenas";"725441";"9840912";"cd"
"93";"s12154";"Windsor_Den";"happyzebra";"716432";"9842596";"cd"
"94";"s12211";"Amazon_Den";"happyzebra";"719656";"9838561";"cd"
"95";"s1222";"Larceny_Den";"happyzebra";"717242";"9843722";"cd"
"96";"s12381";"Gettysburg_Den";"happyzebra";"719322";"9840190";"cd"
"97";"s12403";"Schmuzty_Den";"happyzebra";"720201";"9839904";"cd"
"98";"s12433";"Schmuck_Den";"happyzebra";"720374";"9839933";"cd"
"99";"s12464";"Oy_Vey_Den";"happyzebra";"721091";"9840261";"cd"
"100";"s12477";"Mashugana_Den";"happyzebra";"721208";"9840487";"cd"
"101";"s12479";"Mashugana_Den_II";"happyzebra";"721189";"9840596";"cd"
"102";"s12493";"Bubula_Den";"happyzebra";"720534";"9840559";"cd"
"103";"s1251";"Gila_River_Den_II";"happyzebra";"716426";"9843696";"cd"
"104";"s1270";"Gila_River_Den";"happyzebra";"716307";"9843668";"cd"
"105";"s12744";"Tigris_Den";"happyzebra";"719693";"9838330";"cd"
"106";"s1278";"Gila_River_Den_III";"happyzebra";"716452";"9843748";"cd"
"107";"s13059.1";"Cannibal_Cami_Den";"happyzebra";"718608";"9836934";"cd"
"108";"s13069";"Whooping_Cami_Den";"happyzebra";"718655";"9836894";"cd"
"109";"s1325";"Airstrip_Den";"serenan";"723463";"9844931";"d"
"110";"s1337";"Redemption_Den";"serenan";"722500";"9844773";"cd"
"111";"s134";"Holy_Grail_Den_II";"happyzebra";"718859";"9840103";"cd"
"112";"s13802";"Uji_Den";"serenan";"723067";"9846159";"cd"
"113";"s1408";"Runway_Den_II";"serenan";"723179";"9844719";"cd"
"114";"s1426";"Wanderlust_Den";"serenan";"722573";"9844992";"cd"
"115";"s14281";"Bright_Eyes_Den";"serenan";"718430";"9848948";"cd"
"116";"s14320";"Crunk_Den";"serenan";"718375";"9849268";"cd"
"117";"s1455";"Bakery_Den";"serenan";"722709";"9844770";"cd"
"118";"s14821";"Claire_Den";"serenas";"725383";"9840846";"cd"
"119";"s14828";"Mr._Eko_Den";"serenas";"725291";"9840944";"cd"
"120";"s14913";"Temple_of_Artemis_Den";"serenas";"724900";"9841254";"cd"
"121";"s14928";"Zeus_Den";"serenas";"724943";"9841096";"cd"
"122";"s15008";"Polar_Bear_Den";"serenas";"725352";"9840838";"cd"
"123";"s15101.4";"Jackson's_Hole_Den";"serenas";"725657";"9841081";"cd"
"124";"s15117";"Summit_Den";"serenas";"726881";"9841004";"cd"
"125";"s15377";"Sawyer_Den";"serenas";"725256";"9840952";"cd"
"126";"s15399";"Colossus_of_Rhodes_Den";"serenas";"725114";"9841436";"cd"
"127";"s1550";"Heathrow_Den";"serenan";"719087";"9840152";"cd"
"128";"s15537";"Defenestrate_Den";"serenas";"725405";"9841812";"cd"
"129";"s16256";"Euphrates_Den";"happyzebra";"719599";"9838284";"cd"
"130";"s16393";"Oodelali_Den";"serenan";"718352";"9849222";"cd"
"131";"s16726";"Moat_Den";"serenas";"724573";"9842044";"cd"
"132";"s16747";"Portcullis_Den";"serenas";"724448";"9842095";"d"
"133";"s16800";"Ugli_Den";"serenas";"726305";"9842484";"d"
"134";"s16870";"Moonset_Den";"happyzebra";"720892";"9838075";"d"
"135";"s17089";"Albatross_Den";"serenan";"718494";"9849303";"cd"
"136";"s17658";"Kit_Kat_Den";"serenas";"726433";"9842488";"cd"
"137";"s17709";"Twix_Den";"serenas";"726356";"9842540";"cd"
"138";"s17773";"Meatloaf_Den";"happyzebra";"715241";"9843545";"cd"
"139";"s1778";"DeGaulle_Den_II";"serenan";"723670";"9844868";"cd"
"140";"s18943";"Houdini_Den";"happyzebra";"716763";"9843937";"cd"
"141";"s20027";"Ilvermorny_Den";"serenan";"719409";"9848777";"cd"
"142";"s20262.1";"Bastion_Den";"serenas";"724676";"9842170";"cd"
"143";"s20305";"Turret_Den";"serenas";"724950";"9842127";"cd"
"144";"s20378.1";"Cacophony_Den";"happyzebra";"716718";"9843752";"cd"
"145";"s20415";"Hullabaloo_Den";"happyzebra";"716721";"9843423";"cd"
"146";"s20429";"Uproar_Den";"happyzebra";"716771";"9843244";"cd"
"147";"s20437";"Clamor_Den";"happyzebra";"716904";"9843283";"cd"
"148";"s20468";"Hubbub_Den";"happyzebra";"716847";"9843520";"cd"
"149";"s20472";"Extortion_Den";"happyzebra";"717163";"9843805";"cd"
"150";"s20488";"Judith_Den2";"serenan";"718910";"9849244";"cd"
"151";"s20821";"Tiny_Violet_Princess_Den";"happyzebra";"716339";"9843900";"cd"
"152";"s20897";"Calexico_Den";"happyzebra";"716384";"9842738";"cd"
"153";"s21133";"TSA_Den";"serenas";"724439";"9841751";"cd"
"154";"s21289";"Angry_Ele_Den";"happyzebra";"718523";"9844405";"cd"
"155";"s21523";"Defenestrate_Den2";"serenas";"725495";"9841916";"cd"
"156";"s21641";"Suzi_Den_3";"serenas";"726324";"9842426";"cd"
"157";"s21753";"Angry_Ele_Den_2";"happyzebra";"718503";"9844377";"cd"
"158";"s21823";"Lugga_Den2";"happyzebra";"718624";"9844590";"cd"
"159";"s21856.1";"Lugga_Den_lll";"happyzebra";"718592";"9844639";"cd"
"160";"s21937";"Suzi_Den";"serenas";"726298";"9842460";"cd"
"161";"s22032";"Mango_Den_ll";"serenas";"726233";"9842257";"cd"
"162";"s22044";"Bberry_Den";"serenas";"725937";"9841648";"cd"
"163";"s22047";"Precipice_Den_ll";"serenas";"726027";"9841858";"cd"
"164";"s22058";"Precipice_Den";"serenas";"726069";"9841910";"cd"
"165";"s22185";"Rang_Natal_Den";"serenas";"726091";"9842140";"d"
"166";"s2232";"Seatac_Den";"serenan";"723326";"9844804";"cd"
"167";"s22332";"Bright_Eyes_Den_ll";"serenan";"718276";"9848942";"cd"
"168";"s22427.1";"Kabbalah_Den";"serenan";"718423";"9849180";"cd"
"169";"s22442";"Diagon_Alley_Den";"serenan";"717949";"9849283";"cd"
"170";"s22512";"Gringotts_Den";"serenan";"718155";"9849595";"cd"
"171";"s22938";"Whomping_Willow_Den";"serenan";"718529";"9849152";"cd"
"172";"s2294";"Soda_Fountain_Den";"serenan";"718914";"9851295";"cd"
"173";"s23286";"Precipice_Den_III";"serenas";"726025";"9841891";"cd"
"174";"s23371";"Precipice_Den_II";"serenas";"726027";"9841858";"cd"
"175";"s23516.1";"Crunk_Den_2";"serenan";"718357";"9849270";"cd"
"176";"s23652";"Mtafiti_Fisi_Good_Day_Den";"happyzebra";"717251";"9842925";"d"
"177";"s23781";"Some_Freaky_Lions_Den";"serenan";"719768";"9848458";"cd"
"178";"s24067";"Culvert_City_Den";"happyzebra";"718169";"9842580";"cd"
"179";"s24302";"Crunk_Den_II";"serenan";"718357";"9849270";"cd"
"180";"s24343";"Gringotts_Den_2";"serenan";"718197";"9849416";"cd"
"181";"s24692";"Ollivander's_Den_2";"serenan";"719198";"9848864";"cd"
"182";"s249";"CERN_Den";"happyzebra";"719534";"9838825";"cd"
"183";"s2983";"Unremarkable_Den";"serenan";"722850";"9847268";"cd"
"184";"s3041";"Mag_Den";"serenan";"719366";"9850839";"cd"
"185";"s3051";"Gryffindor_Den";"serenan";"719173";"9851289";"cd"
"186";"s3062";"Slytherin_Den";"serenan";"719259";"9850909";"cd"
"187";"s3070";"Ravenclaw_Den";"serenan";"719000";"9851018";"cd"
"188";"s3084";"Hufflepuff_Den";"serenan";"718886";"9851135";"cd"
"189";"s3092";"Durmstrang_Den";"serenan";"719067";"9851012";"cd"
"190";"s3100";"Beauxbatons_Den";"serenan";"718987";"9850937";"cd"
"191";"s3156";"Hogshead_Den";"serenan";"717723";"9849485";"cd"
"192";"s3169";"Chamber_of_Secrets_Den";"serenan";"717726";"9849379";"cd"
"193";"s3185";"3_Broomsticks_Den";"serenan";"717702";"9849474";"cd"
"194";"s3382";"Railroad_Den";"serenas";"724422";"9841651";"cd"
"195";"s3591";"Suzi_Den_II";"serenas";"726321";"9842497";"cd"
"196";"s3633";"Ice_Age_Den";"serenas";"727052";"9842117";"cd"
"197";"s3640";"Elm_Street_Den";"serenas";"726446";"9842434";"cd"
"198";"s3720";"Orchid_Den";"serenas";"725445";"9840897";"cd"
"199";"s3734";"Hydra_Den";"serenas";"725559";"9840851";"cd"
"200";"s3779";"Pearl_Den";"serenas";"725783";"9840988";"cd"
"201";"s4077";"Submarine_Den";"serenas";"725144";"9840834";"d"
"202";"s4180";"Dharma_Den";"serenas";"725495";"9840858";"cd"
"203";"s4328";"Hurley_Den";"serenas";"725185";"9840831";"cd"
"204";"s4333";"Locke_Den";"serenas";"725145";"9840826";"cd"
"205";"s4352";"Hallelujah_Den";"serenas";"723071";"9841425";"cd"
"206";"s4380";"Rivendell_Den";"serenas";"723719";"9841457";"cd"
"207";"s4661";"Heath_Den";"serenas";"726486";"9842170";"cd"
"208";"s4791";"Ajira_Den";"serenas";"727214";"9840612";"cd"
"209";"s4927";"Reese's_Den";"serenas";"726279";"9842474";"cd"
"210";"s5165";"Milky_Way_Den_Deleted";"serenas";"726313";"9842410";"cd"
"211";"s5961";"Helsinki_Den";"serenan";"719644";"9851282";"cd"
"212";"s5982";"Oslo_Den";"serenan";"719597";"9851224";"cd"
"213";"s5989.1";"Stockholm_Den";"serenan";"719632";"9851320";"cd"
"214";"s6023";"Copenhagen_Den";"serenan";"719620";"9851394";"cd"
"215";"s6034";"Tallinn_Den";"serenan";"719639";"9851358";"cd"
"216";"s6074";"Reykjavik_Den";"serenan";"719658";"9851418";"cd"
"217";"s6128.1";"Gothenburg_Den";"serenan";"719679";"9851370";"cd"
"218";"s6128.3";"Aarhus_Den";"serenan";"719884";"9851382";"cd"
"219";"s6130.7";"Moscow_Den";"serenan";"719942";"9851358";"cd"
"220";"s6213.1";"St_Petersburg_Den";"serenan";"719940";"9851218";"cd"
"221";"s6265";"Nyumba_Ndege_Den";"serenan";"724224";"9846508";"cd"
"222";"s6266";"Scrapple_Den";"serenan";"724111";"9846482";"cd"
"223";"s6576";"Crepes_Den";"serenan";"724243";"9846030";"cd"
"224";"s6746";"Frittata_Den";"serenan";"723884";"9846260";"cd"
"225";"s6782";"Chex_Den";"serenan";"723983";"9846130";"cd"
"226";"s6866";"Bergen_Den";"serenan";"720253";"9851464";"cd"
"227";"s6916";"Vaasa_Den";"serenan";"720189";"9851280";"cd"
"228";"s6923";"Kolding_Den";"serenan";"720256";"9851264";"cd"
"229";"s7058";"Salander_Den";"serenan";"720032";"9850724";"cd"
"230";"s7138";"Riga_Den";"serenan";"720119";"9850866";"cd"
"231";"s7280";"Sweetgrass_Den";"happyzebra";"716351";"9844270";"cd"
"232";"s7281";"Sault_St._Marie_Den";"happyzebra";"716352";"9844324";"cd"
"233";"s7286";"Cocobeach_Den";"happyzebra";"716199";"9844306";"cd"
"234";"s7290";"Strasbourg_Den";"happyzebra";"716325";"9844272";"cd"
"235";"s7291";"Kinshasa_Den";"happyzebra";"716290";"9844312";"cd"
"236";"s7334";"Hit_and_Run_Den";"happyzebra";"716588";"9845972";"cd"
"237";"s7338";"Embezzlement_Den";"happyzebra";"716439";"9845940";"cd"
"238";"s7352";"Driving_under_the_Influence_Den";"happyzebra";"716653";"9846058";"cd"
"239";"s7384";"Alamo_Den";"happyzebra";"719098";"9840106";"cd"
"240";"s7931";"Malmö_Den";"serenan";"720175";"9851218";"cd"
"241";"s795";"Juarez_Den";"happyzebra";"716375";"9842579";"cd"
"242";"s8058";"Krakow_Den";"serenan";"719919";"9851134";"cd"
"243";"s8164";"Guca_Den";"serenan";"720474";"9851196";"cd"
"244";"s8322";"Belgrade_Den";"serenan";"719841";"9851154";"cd"
"245";"s8323";"Budapest_Den";"serenan";"719781";"9851170";"cd"
"246";"s8591";"Merry_Christmas_Den";"serenan";"719746";"9847140";"cd"
"247";"s8736";"Kahana_Den";"serenas";"727319";"9840910";"cd"
"248";"s8787";"Flashforward_Den";"serenas";"727377";"9840658";"cd"
"249";"s9147";"Oxytocin_Den";"serenas";"724934";"9841116";"cd"
"250";"s9658";"Mexicalli_Den";"happyzebra";"716255";"9842748";"cd"
"251";"s9877";"Happy_New_Year_Den";"serenan";"719821";"9847114";"cd"
"252";"t100155";"Big_Bush_Den";"talek";"748061";"9838502";"d"
"253";"t100156";"Resurrection_Main_Den";"talek";"747453";"9838546";"cd"
"254";"t100249";"Dicks_Den";"talek";"747390";"9837245";"cd"
"255";"t100331";"Den_One_Creek_Den_Complex";"talek";"747634";"9837096";"d"
"256";"t100511";"Flintstone_Den";"talek";"747000";"9837149";"d"
"257";"t101366";"Farmer's_Den";"talek";"739847";"9835373";"cd"
"258";"t101838.10";"Resurrection_Communal_Den";"talek";"747569";"9838508";"d"
"259";"t102016.10";"Mountaineer_Den";"talek";"747043";"9838583";"d"
"260";"t102125";"Central_Park_Communal_Den";"talek";"746472";"9838970";"d"
"261";"t104118";"Cliff_Den";"talek";"746018";"9837982";"d"
"262";"t104223";"Magic_Bush_Den";"talek";"746745";"9838653";"d"
"263";"t104654";"Nimekufa_Kindani_Den";"talek";"742941";"9831923";"d"
"264";"t105474";"Special_Den";"talek";"743992";"9831975";"d"
"265";"t105539";"Doom's_Day_Den_2";"talek";"746900";"9838610";"d"
"266";"t105983";"Cliff_Den_2";"talek";"746082";"9837966";"d"
"267";"t106054";"Landscape_Den";"talek";"744658";"9833984";"d"
"268";"t106917";"Landscape_Den_2";"talek";"744819";"9833984";"d"
"269";"t107048";"Villa_Den";"talek";"744705";"9834929";"d"
"270";"t107551";"Villa_Den_2";"talek";"744689";"9835065";"d"
"271";"t108115";"Confusing_Den_2";"talek";"744327";"9831969";"d"
"272";"t108135";"Confusing_Den";"talek";"744211";"9832288";"d"
"273";"t108166";"Confusing_Den_3";"talek";"744260";"9831828";"d"
"274";"t108498";"Greenland_Den";"talek";"743636";"9832955";"d"
"275";"t111322";"NUDI's_Den";"talek";"744086";"9832317";"d"
"276";"t111328";"Dave_Den";"talek";"747491";"9837478";"d"
"277";"t111355";"Dave's_Den";"talek";"747491";"9837478";"cd"
"278";"t111381";"Croton_Edge_Communal_Den";"talek";"746952";"9837148";"d"
"279";"t111510";"NUDI's_Den_2";"talek";"744117";"9832275";"d"
"280";"t111991";"Acacia_Den";"talek";"749375";"9838582";"d"
"281";"t29821.4";"Aardwolf_Communal_Den";"talek";"745294";"9838050";"d"
"282";"t32073";"Plantation_Den";"talek";"746293";"9839498";"d"
"283";"t34130";"Olosogon_West_Bank_Natal_Den";"talek";"754909";"9835790";"d"
"284";"t34245";"Fever_Tree_Natal_Den/Communal_Den_Complex";"talek";"753681";"9837484";"d"
"285";"t35797";"Sunrise_Valley_Communal_Den/Natal_Den";"talek";"753524";"9837427";"d"
"286";"t37451";"Base_Natal_Den/Communal_Den";"talek";"746442";"9838893";"d"
"287";"t38685";"Doom's_Day_Den";"talek";"747037";"9838562";"d"
"288";"t38853";"Tumo_Hill_Den";"talek";"752769";"9838944";"d"
"289";"t40009";"Paradise_Den";"talek";"746378";"9836793";"d"
"290";"t43814";"Ranger_Den";"talek";"745281";"9840331";"d"
"291";"t44085";"No_See_Em_Den";"talek";"744984";"9840806";"d"
"292";"t48913";"Holiday_Communal_Den";"talek";"746505";"9836828";"d"
"293";"t50792";"Kinda-See-Em_Den";"talek";"745124";"9840497";"d"
"294";"t52759";"FM_Den";"talek";"752888";"9838905";"d"
"295";"t53370";"Summer_Den";"talek";"753495";"9837319";"d"
"296";"t53586";"Over_the_River_Den";"talek";"753542";"9837353";"d"
"297";"t55678.1";"Boulevard_Den";"talek";"744985";"9839134";"d"
"298";"t58112";"Lala_Den";"talek";"744591";"9841032";"d"
"299";"t58248";"Green_Den";"talek";"729719";"9840569";"d"
"300";"t59153";"Den_of_Perfection";"talek";"746689";"9836798";"d"
"301";"t59764";"Roadside_Den";"talek";"746619";"9836966";"cd"
"302";"t60367";"Banana_Tree_Communal_Den";"talek";"740512";"9859417";"d"
"303";"t60628";"Fig_Tree_Den_2";"talek";"736615";"9840574";"cd"
"304";"t60830";"Sun_Den";"talek";"741258";"9840562";"d"
"305";"t60895";"Wicked_Den";"talek";"740636";"9839896";"d"
"306";"t62592.1";"Crocodile_Den";"talek";"746043";"9840060";"d"
"307";"t62624";"Crocodile_Camp_Den";"talek";"746008";"9840226";"d"
"308";"t63871";"Waverly_Den";"talek";"744929";"9839296";"d"
"309";"t64040";"Wayland_Den";"talek";"745254";"9839856";"d"
"310";"t67139";"Lovenest_Den";"talek";"747061";"9837156";"d"
"311";"t68856";"Kinda_See_Em_Den_Two";"talek";"745085";"9840608";"cd"
"312";"t72593";"K6_Den";"talek";"749032";"9836434";"d"
"313";"t72595";"Riverbend_Den";"talek";"748477";"9838427";"d"
"314";"t72681";"Lightning_Den";"talek";"747326";"9838572";"d"
"315";"t74765";"Dion's_Natal_Den";"talek";"747075";"9837512";"d"
"316";"t78545";"Pothole_Den";"talek";"747622";"9837700";"d"
"317";"t86449";"Gardenia_Den";"talek";"746979";"9836020";"cd"
"318";"t86881";"Secluded_Den";"talek";"747062";"9837168";"cd"
"319";"t86928";"Yoplait_Den";"talek";"741720";"9836168";"cd"
"320";"t87055";"DOC_Communal_Den";"talek";"747634";"9837096";"d"
"321";"t87427";"Milkyway_Den";"talek";"742848";"9835677";"cd"
"322";"t87466";"Maggie_Den";"talek";"742990";"9835692";"cd"
"323";"t87698";"Cash_Den";"talek";"747481";"9837043";"cd"
"324";"t87758";"Pole_not_Pole_Den";"talek";"743572";"9837544";"cd"
"325";"t87815";"Singizi_Den";"talek";"747084";"9835640";"cd"
"326";"t87966";"Lucky_Leopard_Den";"talek";"742437";"9836924";"cd"
"327";"t88769";"Kinda_See_Em_Den_Three";"talek";"745114";"9840561";"cd"
"328";"t89034";"Love_Stinks_Den";"talek";"741286";"9836630";"cd"
"329";"t90210";"Democracy_Den";"talek";"742067";"9835491";"cd"
"330";"t90788";"Lazy_French_Den";"talek";"741547";"9835066";"cd"
"331";"t91062";"Tangawizi_Den";"talek";"741030";"9836512";"d"
"332";"t92182";"Nomadic_Den";"talek";"741877";"9835276";"d"
"333";"t92215";"Sugar_Daddy_Den";"talek";"742514";"9835091";"d"
"334";"t92375";"Barbie_Party_Den";"talek";"741712";"9835491";"d"
