id;dob;dob_event_status;dob_event_data;dob_error;dob_notes;dfs;dfs_event_status;dfs_event_data;dfs_error;dfs_notes;dengrad;dengrad_event_status;dengrad_event_data;dengrad_error;dengrad_notes;weaned;weaned_event_status;weaned_event_data;weaned_error;weaned_notes;change_clan;change_clan_event_status;change_clan_event_data;change_clan_error;change_clan_notes;change_clan2;change_clan2_event_status;change_clan2_event_data;change_clan2_error;change_clan2_notes;change_clan3;change_clan3_event_status;change_clan3_event_data;change_clan3_error;change_clan3_notes;disappeared;disappeared_event_status;disappeared_event_data;disappeared_error;disappeared_notes,,,,,,
a1057;NA;;unknown;;;2015-07-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2015-07-15;;;;check EventStatus and EventData,,,,,,
a1058;NA;;unknown;;;2015-12-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2015-12-08;;;;check EventStatus and EventData,,,,,,
a106;NA;;unknown;;;2001-04-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-04-24;;;;check EventStatus and EventData,,,,,,
a1060;NA;;unknown;;;2016-04-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-04-25;;;;check EventStatus and EventData,,,,,,
a1061;NA;;unknown;;;2016-05-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-05-01;dead;;;found as a skull,,,,,,
a1062;NA;;unknown;;;2016-08-19;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-10-08;;;;check EventStatus and EventData,,,,,,
a1063;NA;;unknown;;;2016-08-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-11-15;dls;;;check EventStatus and EventData,,,,,,
a1064;NA;;unknown;;;2016-07-14;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-07-14;;;;check EventStatus and EventData,,,,,,
a1068;NA;;unknown;;;2016-12-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-12-11;;;;check EventStatus and EventData,,,,,,
a107;NA;;unknown;;;2001-05-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-05-10;;;;check EventStatus and EventData,,,,,,
a1071;NA;;unknown;;;2016-12-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-12-29;;;;check EventStatus and EventData,,,,,,
a1072;NA;;unknown;;;2016-12-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-12-24;;;;check EventStatus and EventData,,,,,,
a1074;NA;;unknown;;;2017-01-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1075;NA;;unknown;;;2017-02-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1076;NA;;unknown;;;2017-03-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1077;NA;;unknown;;;2017-03-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1078;NA;;unknown;;;2017-07-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a108;NA;;unknown;;;2001-05-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-05-12;;;;check EventStatus and EventData,,,,,,
a1080;NA;;unknown;;;2017-07-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1081;NA;;unknown;;;2017-07-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1082;NA;;unknown;;;2017-07-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1084;NA;;unknown;;;2017-08-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1085;NA;;unknown;;;2017-09-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1086;NA;;unknown;;;2017-07-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1087;NA;;unknown;;;2017-08-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1088;NA;;unknown;;;2017-08-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1089;NA;;unknown;;;2017-08-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1091;NA;;unknown;;;2017-08-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1092;NA;;unknown;;;2017-09-22;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1094;NA;;unknown;;;2017-11-04;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1095;NA;;unknown;;;2017-12-04;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a1096;NA;;unknown;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a110;NA;;unknown;;;2001-06-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-06-10;;;;check EventStatus and EventData,,,,,,
a111;NA;;unknown;;;2001-06-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-06-10;;;;check EventStatus and EventData,,,,,,
a112;NA;;unknown;;;2001-06-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-06-15;;;;check EventStatus and EventData,,,,,,
a1123;NA;;unknown;;;2013-10-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
a113;NA;;unknown;;;2001-06-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-06-13;;;;check EventStatus and EventData,,,,,,
a114;NA;;unknown;;;2001-07-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001-07-01;;;;check EventStatus and EventData,,,,,,
a36b;NA;;unknown;;;1999-02-18;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-02-18;dls;fate unknown;;,,,,,,
a43b;NA;;unknown;;;1999-05-19;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-05-19;dls;fate unknown;;,,,,,,
aaa;NA;;unknown;;;1998-09-12;;;;;NA;;;;;NA;;;;;1998-09-12;dispersal;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-09-08;dls;fate unknown;;,,,,,,
aaf1;NA;;unknown;;;1997-06-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-06-05;dead;;;,,,,,,
aaf2;NA;;unknown;;;1997-05-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-05-02;dead;;;,,,,,,
aang;2018-10-17;;serena.n;;;2019-02-05;;;;;2019-10-17;;;11;graduated by turning 1 yo;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2022-10-24;dls;fate unknown;;,,,,,,
ab;1987-10-01;;talek;;;1988-06-26;;;;;NA;;;;;1988-10-22;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1989-07-18;dls;inferred dead;;,,,,,,
ab01;NA;;unknown;;;2006-05-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
ab02;NA;;unknown;;;2006-05-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
ab03;NA;;unknown;;;2006-05-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
ab04;NA;;unknown;;;2006-05-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
abat;2015-11-17;;serena.n;;;2016-02-06;;;;;2016-08-06;;;;DenGrad info not in table, instead taken from tblHyenas;2016-07-03;;;1;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-12-28;dls;;;,,,,,
abby;2010-10-09;;serena.n;;;2010-11-06;;;;;NA;;;;;NA;dbw;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2011-04-10;dls;fate unknown;;,,,,,,
abc;2019-01-07;;serena.n;;;2019-05-16;;;;;2019-11-09;;;2;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-01-20;dls;;;,,,,,,
abe;2004-04-14;;airstrip;;;2004-05-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-06-28;;;;check EventStatus and EventData,,,,,,
aber;2003-02-23;;mara.river;;;2002-04-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-02-23;dead;;;,,,,,,
abi;2010-01-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
abid;NA;;unknown;;;2015-03-11;;;;;NA;;;;;NA;;;;;2015-03-11;dispersal;talek;;;2016-05-01;fission;kcm;;;NA;NA;NA;NA;NA;NA;dls;;;,,,,,,
aca;2007-10-24;;talek;;;2008-04-13;;;;;2008-07-20;;;0.5;;2008-09-26;;;21.5;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2009-06-04;dls;inferred dead;;,,,,,,
acc;NA;;unknown;;;2012-02-13;;;;;NA;;;;;NA;;;;;2012-02-13;dispersal;mara.river;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2013-08-25;dls;;;check EventStatus and EventData,,,,,,
ace;2022-11-19;;serena.s;;;2022-12-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2022-12-19;dls;;;,,,,,,
ach;NA;;fig.tree;;;1994-06-16;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1994-06-16;dls;fate unknown;;,,,,,,
acia;2011-11-19;;talek;;;2012-01-14;;;;;NA;dbg;;;;NA;dbw;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2012-01-27;dls;inferred dead;;,,,,,,
acin;2013-12-22;;happy.zebra;;;2014-01-12;;;;;2014-11-23;;;;DenGrad info not in table, instead taken from tblHyenas;2014-10-08;;;0.5;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2014-12-19;dead;starvation?;;,,,,,
acka;2022-05-06;;kcm;;;2022-08-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
acne;2015-06-06;;talek;;;2015-07-20;;;;;2016-03-17;;;1.5;;2016-09-07;;;1.5;;2016-05-01;fission;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;dls;;;,,,,,,
aco;2007-09-27;;mara.river;;;2008-02-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2013-05-14;dls;;;check EventStatus and EventData,,,,,,
acon;2009-12-18;;talek;;;2010-01-30;;;;;2010-08-03;;;0.5;;2010-08-20;;;10.5;;2013-08-30;dispersal;talek.e;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016-05-14;dls;fate unknown;;,,,,,,
acr;NA;;airstrip;;;2003-08-04;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-06-29;;;;check EventStatus and EventData,,,,,,
acro;2010-09-09;;serena.n;;;2010-10-16;;;;;NA;;;;;2011-03-11;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2011-05-10;dls;fate unknown;;check EventStatus and EventData,,,,,,
adam;NA;;unknown;;;1995-06-03;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1995-06-03;dls;fate unknown;;,,,,,,
add;2003-09-09;;talek.e;;;2003-10-07;;;;;NA;dbg;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-11-14;dls;fate unknown;;,,,,,,
ade;NA;;unknown;;;2001-11-09;;;;;NA;;;;;NA;;;;;2001-11-09;dispersal;talek;;;2002-05-01;fission;talek.e;;;NA;NA;NA;NA;NA;2004-05-04;dls;humans-speared;;,,,,,,
adl;2011-02-28;;happy.zebra;;;2011-03-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2011-04-26;dls;fate unknown;;,,,,,,
adm;2007-06-01;;oz valley;;;2008-11-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
adon;2001-03-20;;talek;;;2001-05-22;;;;;2001-10-08;;;0.5;;2001-12-06;;;1;;2016-05-01;fission;kcm;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2017-12-03;dls;;;,,,,,,
adr;NA;;unknown;;;1994-06-17;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1994-06-17;dls;fate unknown;;,,,,,,
ads;2015-02-11;;talek;;;2015-05-15;;;;;2016-03-17;;;1;;2015-08-20;;;0.5;;2016-05-01;fission;talek;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-09-08;dls;;;,,,,,,
ae;NA;;17km;;;2008-06-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2008-08-22;;;;check EventStatus and EventData,,,,,,
aero;2009-11-29;;mara.river;;;2010-09-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-09-02;dls;;;check EventStatus and EventData,,,,,,
af01;NA;;unknown;;;1997-05-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-05-11;dls;fate unknown;;,,,,,,
af02;NA;;unknown;;;1997-06-03;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-06-03;dls;fate unknown;;,,,,,,
af03;NA;;unknown;;;1998-01-21;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-01-26;dls;fate unknown;;,,,,,,
af04;NA;;unknown;;;1998-01-26;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-01-28;dls;fate unknown;;,,,,,,
af05;NA;;talek;;;1998-01-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-01-28;dls;fate unknown;;,,,,,,
af06;NA;;unknown;;;1998-02-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-05-03;dls;fate unknown;;,,,,,,
af07;NA;;unknown;;;1998-02-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-02-05;dls;fate unknown;;,,,,,,
af08;NA;;unknown;;;1998-02-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-02-20;dls;fate unknown;;,,,,,,
af09;NA;;unknown;;;1998-03-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-03-13;dls;fate unknown;;,,,,,,
af10;NA;;unknown;;;1998-03-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-03-29;dls;fate unknown;;,,,,,,
af1043;NA;;unknown;;;2015-03-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2015-03-06;;;;check EventStatus and EventData,,,,,,
af1046;NA;;unknown;;;2015-03-16;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2015-03-17;;;;check EventStatus and EventData,,,,,,
af1049;NA;;unknown;;;2015-05-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2015-05-30;;;;check EventStatus and EventData,,,,,,
af1052;NA;;unknown;;;2015-04-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2015-04-07;;;;check EventStatus and EventData,,,,,,
af1061;NA;;unknown;;;2016-05-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
af1078;NA;;unknown;;;2017-07-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
af1079;NA;;unknown;;;2017-07-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
